Country_name,latitude,longitude
Fiji,-17.31630943,163.8531646
Tanzania,-6.257732429,34.75298985
W. Sahara,24.29117296,-12.13783111
Canada,61.46907615,-98.14238137
United States of America,45.705628,-112.5994359
Kazakhstan,48.19166075,67.28461098
Uzbekistan,41.74860266,63.20363953
Papua New Guinea,-6.451644515,145.3175746
Indonesia,-2.221737937,117.4234076
Argentina,-35.44682149,-65.17536077
Chile,-39.04701431,-71.52064395
Dem. Rep. Congo,-2.850275711,23.58295583
Somalia,4.752347757,45.72670077
Kenya,0.595966252,37.79155529
Sudan,15.990585,29.86260401
Chad,15.3288674,18.58132953
Haiti,18.90070069,-72.65801331
Dominican Rep.,18.88448709,-70.46235846
Russia,61.96166349,96.80331818
Bahamas,25.51549173,-77.9299708
Falkland Is.,-51.71322177,-59.42097279
Norway,69.15685631,15.46811996
Greenland,74.77048769,-41.50018111
Fr. S. Antarctic Lands,-49.30645491,69.53158047
Timor-Leste,-8.767760362,125.9663003
South Africa,-28.94703326,25.04801388
Lesotho,-29.62529049,28.1701053
Mexico,23.9353719,-102.5763495
Uruguay,-32.78090437,-56.00327867
Brazil,-10.80677364,-53.05434004
Bolivia,-16.72898702,-64.64140561
Peru,-9.191562905,-74.39180582
Colombia,3.927213863,-73.07773209
Panama,8.530019389,-80.10916484
Costa Rica,9.965671127,-84.1754231
Nicaragua,12.84819043,-85.0203185
Honduras,14.82294708,-86.58996384
El Salvador,13.72609163,-88.87290317
Guatemala,15.69936061,-90.36945836
Belize,17.19708991,-88.70342125
Venezuela,7.162132268,-66.16382728
Guyana,4.790225375,-58.97120311
Suriname,4.120008032,-55.9114563
France,42.46070433,-2.876696699
Ecuador,-1.454771706,-78.38416675
Puerto Rico,18.23722457,-66.47922228
Jamaica,18.13763613,-77.3242548
Cuba,21.63175154,-78.96068491
Zimbabwe,-18.90698795,29.78854837
Botswana,-22.09971138,23.77308147
Namibia,-22.09977693,17.15616813
Senegal,14.35413999,-14.50980279
Mali,17.26777206,-3.543294339
Mauritania,20.20926721,-10.32639693
Benin,9.647430781,2.337377553
Niger,17.34555281,9.3244271
Nigeria,9.548318418,7.995127754
Cameroon,5.663095288,12.61155155
Togo,8.439541955,0.996403944
Ghana,7.928651813,-1.236968556
Côte d'Ivoire,7.553755007,-5.612043645
Guinea,10.44827288,-11.06085374
Guinea-Bissau,12.02270438,-15.11062375
Liberia,6.431619862,-9.410836154
Sierra Leone,8.530353726,-11.79525743
Burkina Faso,12.31165049,-1.776537452
Central African Rep.,6.542778706,20.37434729
Congo,-0.837801087,15.13446177
Gabon,-0.64704814,11.68775117
Eq. Guinea,1.64586432,10.36603133
Zambia,-13.39506755,27.72759192
Malawi,-13.17283499,34.19360533
Mozambique,-17.23044898,35.47261598
eSwatini,-26.48985529,31.3952559
Angola,-12.24586904,17.47057255
Burundi,-3.377391075,29.9138923
Israel,31.48491939,35.00385121
Lebanon,33.91182721,35.87098632
Madagascar,-19.35611408,46.69117091
Palestine,31.94113662,35.27331962
Gambia,13.47533436,-15.43187281
Tunisia,34.17293904,9.534716121
Algeria,28.18548128,2.598047792
Jordan,31.24549058,36.77945491
United Arab Emirates,23.86863365,54.20671476
Qatar,25.32185097,51.18350258
Kuwait,29.30726663,47.60009889
Iraq,33.03682096,43.75691096
Oman,20.61117437,56.09867282
Vanuatu,-15.54267706,167.0737513
Cambodia,12.68472863,104.8760853
Thailand,15.01697499,101.0061335
Laos,18.44497809,103.7502599
Myanmar,21.01699987,96.50584094
Vietnam,16.65793775,106.2858408
North Korea,40.14302034,127.1650159
South Korea,36.4275986,127.8213171
Mongolia,46.82368113,102.9464062
India,22.92500641,79.59370376
Bangladesh,23.8394618,90.26792828
Bhutan,27.42796865,90.47242481
Nepal,28.23944002,84.01317368
Pakistan,29.97346003,69.41399806
Afghanistan,33.85639928,66.08669022
Tajikistan,38.58308146,71.03443505
Kyrgyzstan,41.50689371,74.62040481
Turkmenistan,39.09124018,59.27543026
Iran,32.51891732,54.2854515
Syria,35.01261428,38.54423942
Armenia,40.21660761,45.00029001
Sweden,62.81148497,16.59626585
Belarus,53.50634479,27.98135262
Ukraine,49.14882261,31.22912207
Poland,52.14826022,19.31101431
Austria,47.61394879,14.07615888
Hungary,47.19995117,19.35762863
Moldova,47.20367643,28.41048279
Romania,45.85710104,24.94325249
Lithuania,55.28431948,23.88064028
Latvia,56.80717513,24.83329615
Estonia,58.64369543,25.82472561
Germany,51.13372269,10.28848509
Bulgaria,42.75311876,25.19511095
Greece,39.0667159,22.71981345
Turkey,39.06837194,35.11690015
Albania,41.14135331,20.03242643
Croatia,45.016234,16.56618977
Switzerland,46.79173768,8.118300613
Luxembourg,49.76570507,5.965223432
Belgium,50.65244096,4.580834114
Netherlands,52.29870037,5.512217101
Portugal,39.63404977,-8.055765588
Spain,40.34865611,-3.617020602
Ireland,53.18059121,-8.010236545
New Caledonia,-21.26135761,165.5344746
Solomon Is.,-8.852497471,159.9666154
New Zealand,-41.66257876,172.7019259
Australia,-25.73065478,134.5027755
Sri Lanka,7.700534417,80.66723575
China,36.55506653,103.8836123
Taiwan,23.74096498,120.9748007
Italy,42.75118305,12.14078837
Denmark,56.06393446,9.876372938
United Kingdom,53.91477348,-2.853135395
Iceland,65.07427634,-18.76102877
Azerbaijan,40.22069055,47.55390956
Georgia,42.16201501,43.48154265
Philippines,11.76379936,122.9026724
Malaysia,3.725588426,109.6981484
Brunei,4.690250543,114.9151088
Slovenia,46.12542206,14.93815232
Finland,64.50409404,26.21176461
Slovakia,48.72671135,19.50765715
Czechia,49.77524529,15.3345581
Eritrea,15.42727675,38.67818693
Japan,37.66311081,138.0649621
Paraguay,-23.24804195,-58.38738783
Yemen,15.91323195,47.53504476
Saudi Arabia,24.12328984,44.51636377
Antarctica,-80.49198288,20.57100057
N. Cyprus,35.27395768,33.55828596
Cyprus,34.90706085,33.0395538
Morocco,29.8853947,-8.420479545
Egypt,26.50662,29.84446151
Libya,26.99746041,17.97435278
Ethiopia,8.653999188,39.55125579
Djibouti,11.7730444,42.49801974
Somaliland,9.757971805,46.23074953
Uganda,1.295485504,32.35755032
Rwanda,-2.013514466,29.91896392
Bosnia and Herz.,44.18076776,17.81688327
North Macedonia,41.60592965,21.69790338
Serbia,44.23303653,20.81965193
Montenegro,42.78903961,19.28618172
Kosovo,42.57936713,20.89535572
Trinidad and Tobago,10.42823709,-61.33036691
S. Sudan,7.292890134,30.19861758
