month,year,import_val,export_val
1,2020,17708435634,20660683357
1,2021,18087239840,22201593815
1,2022,22158763802,26513140320
1,2023,21833804442,26023385626
2,2020,14929160732,17919125698
2,2021,17225506150,21645833812
2,2022,19720786832,24295199502
2,2023,21175488872,25649485756
3,2020,15997042595,18673746739
3,2021,19659039426,25550241485
3,2022,25052961704,31302347743
3,2023,23056960604,29034584439
4,2020,15925744732,14903777865
4,2021,20665705326,25602930902
4,2022,24399312089,29879114230
4,2023,20928698259,23784793127
5,2020,12192632413,14464232965
5,2021,19032663373,22365274011
5,2022,24584067110,27504213860
5,2023,22953065598,26424797097
6,2020,14732337527,19391005642
6,2021,20125874507,25511993985
6,2022,27511086473,32778910835
6,2023,21236257600,26750776509
7,2020,15802624186,21727198217
7,2021,19899966048,23179972878
7,2022,26676500011,30248619704
7,2023,21638216612,25414967387
8,2020,15741079182,19270049092
8,2021,17567966025,22635196731
8,2022,27815547732,31689028853
8,2023,21233995637,24962718043
9,2020,16128763373,21416199022
9,2021,20327360344,26602315587
9,2022,24730210545,31741241394
9,2023,21355558920,26564951362
10,2020,16594970954,21959136607
10,2021,21166053293,27484497597
10,2022,24173925316,28109621945
10,2023,23874849578,26588711828
11,2020,16433443159,20594282739
11,2021,22306218063,26841697499
11,2022,23333870357,28054969709
11,2023,23353729991,25968466996
12,2020,18516545123,23630012607
12,2021,22055290958,29417210195
12,2022,23469425223,29813973458
12,2023,22889961726,25424670310
