Year,Origin,flowDesc,ExportCountry,tradeValue
2020,Malaysia,Export,Thailand,10786175541.00
2020,Malaysia,Export,Solomon Isds,19853006.80
2020,Malaysia,Export,Saint Helena,35173.46
2020,Malaysia,Export,Indonesia,7039109642.00
2020,Malaysia,Export,Cayman Isds,181131.49
2020,Malaysia,Export,Palestine,3310693.96
2020,Malaysia,Export,Sao Tome and Principe,372769.99
2020,Malaysia,Export,Antarctica,104009.96
2020,Malaysia,Export,Montserrat,4678.74
2020,Malaysia,Export,Saint Vincent and the Grenadines,1491934.01
2020,Malaysia,Export,Niue,366.36
2020,Malaysia,Export,Br. Indian Ocean Terr.,6221.27
2020,Malaysia,Export,Aruba,39499.39
2020,Malaysia,Export,Eritrea,1861939.15
2020,Malaysia,Export,Cocos Isds,39960.20
2020,Malaysia,Export,Algeria,87475345.34
2020,Malaysia,Export,Congo,42281563.96
2020,Malaysia,Export,Nepal,37133558.77
2020,Malaysia,Export,Curaçao,1642796.08
2020,Malaysia,Export,Mali,14442507.57
2020,Malaysia,Export,Laos,13379012.64
2020,Malaysia,Export,Sweden,353585634.20
2020,Malaysia,Export,Armenia,1603625.22
2020,Malaysia,Export,Venezuela,5099960.50
2020,Malaysia,Export,Pakistan,1132697401.00
2020,Malaysia,Export,Bulgaria,112979104.80
2020,Malaysia,Export,United States of America,25984205303.00
2020,Malaysia,Export,Uganda,7325962.57
2020,Malaysia,Export,Barbados,2393680.67
2020,Malaysia,Export,Turkey,1840624475.00
2020,Malaysia,Export,Ukraine,127234742.80
2020,Malaysia,Export,Trinidad and Tobago,20423916.09
2020,Malaysia,Export,Denmark,209926137.50
2020,Malaysia,Export,Turks and Caicos Isds,54769.59
2020,Malaysia,Export,Myanmar,729519569.20
2020,Malaysia,Export,Angola,140989077.80
2020,Malaysia,Export,Hungary,527964868.00
2020,Malaysia,Export,Kazakhstan,103156265.00
2020,Malaysia,Export,Honduras,12425688.74
2020,Malaysia,Export,Albania,4770145.61
2020,Malaysia,Export,Gabon,26667078.77
2020,Malaysia,Export,Libya,14464153.91
2020,Malaysia,Export,Norfolk Isds,7724207.15
2020,Malaysia,Export,Iran,320081604.80
2020,Malaysia,Export,Sierra Leone,21809464.49
2020,Malaysia,Export,Mauritius,69408511.46
2020,Malaysia,Export,Mongolia,24769301.96
2020,Malaysia,Export,Guam,2452707.21
2020,Malaysia,Export,French Polynesia,7612299.93
2020,Malaysia,Export,Br. Virgin Isds,118098.28
2020,Malaysia,Export,Marshall Isds,2070876.64
2020,Malaysia,Export,Georgia,37400431.80
2020,Malaysia,Export,Togo,160084196.30
2020,Malaysia,Export,Seychelles,10425507.54
2020,Malaysia,Export,Guatemala,32785041.45
2020,Malaysia,Export,Cambodia,355705363.20
2020,Malaysia,Export,Central African Rep.,609198.73
2020,Malaysia,Export,Suriname,8315115.33
2020,Malaysia,Export,South Africa,613002955.00
2020,Malaysia,Export,Switzerland,641561848.60
2020,Malaysia,Export,Vietnam,7352144153.00
2020,Malaysia,Export,Jordan,89907379.45
2020,Malaysia,Export,Qatar,268353781.90
2020,Malaysia,Export,Niger,13311531.20
2020,Malaysia,Export,Sudan,63079906.52
2020,Malaysia,Export,Burkina Faso,5461814.06
2020,Malaysia,Export,United Rep. of Tanzania,156755688.80
2020,Malaysia,Export,Liberia,15976738.66
2020,Malaysia,Export,Côte d'Ivoire,114398503.90
2020,Malaysia,Export,Gibraltar,25355805.22
2020,Malaysia,Export,Brunei,660444995.20
2020,Malaysia,Export,Saint Lucia,339369.82
2020,Malaysia,Export,Sri Lanka,625211465.90
2020,Malaysia,Export,Rwanda,1237919.85
2020,Malaysia,Export,France,1242432011.00
2020,Malaysia,Export,Senegal,62792699.88
2020,Malaysia,Export,Italy,1301529762.00
2020,Malaysia,Export,Poland,570797100.40
2020,Malaysia,Export,New Caledonia,43827206.30
