Year,Origin,flowDesc,ImportCountry,ImportValue
2020,Malaysia,Import,Christmas Isds,6674603.793
2020,Malaysia,Import,Armenia,141453.437
2020,Malaysia,Import,Solomon Isds,8909770.646
2020,Malaysia,Import,Burkina Faso,8411837.047
2020,Malaysia,Import,Lithuania,99501439.43
2020,Malaysia,Import,Dominican Rep.,8895803.178
2020,Malaysia,Import,Sudan,1221297.914
2020,Malaysia,Import,Türkiye,476681439.7
2020,Malaysia,Import,French Polynesia,86251.585
2020,Malaysia,Import,Iran,51307594.41
2020,Malaysia,Import,Congo,65645950.24
2020,Malaysia,Import,Mauritius,4349804.111
2020,Malaysia,Import,Philippines,2088858894
2020,Malaysia,Import,Ireland,586481369.8
2020,Malaysia,Import,Guam,269241.299
2020,Malaysia,Import,State of Palestine,939817.952
2020,Malaysia,Import,Seychelles,1901743.528
2020,Malaysia,Import,Lebanon,3648854.783
2020,Malaysia,Import,El Salvador,2086314.788
2020,Malaysia,Import,Br. Virgin Isds,3180028.718
2020,Malaysia,Import,American Samoa,3960.05
2020,Malaysia,Import,Chile,110830781.9
2020,Malaysia,Import,United States of America,16594009668
2020,Malaysia,Import,Burundi,4732.029
2020,Malaysia,Import,Jordan,56512347.55
2020,Malaysia,Import,Argentina,1229027588
2020,Malaysia,Import,Iraq,301818434.2
2020,Malaysia,Import,Andorra,2131.09
2020,Malaysia,Import,Norway,200033738
2020,Malaysia,Import,"Other Asia, nes",13805978442
2020,Malaysia,Import,Poland,200749136.8
2020,Malaysia,Import,Cyprus,10518124.8
2020,Malaysia,Import,Cambodia,113739566.9
2020,Malaysia,Import,Australia,4682926582
2020,Malaysia,Import,United Rep. of Tanzania,71736119.29
2020,Malaysia,Import,Liberia,18053206.37
2020,Malaysia,Import,North Macedonia,248910.536
2020,Malaysia,Import,Venezuela,437139393.5
2020,Malaysia,Import,Peru,102146566.4
2020,Malaysia,Import,FS Micronesia,3959.812
2020,Malaysia,Import,Bahamas,323216.787
2020,Malaysia,Import,Uruguay,8562155.515
2020,Malaysia,Import,New Caledonia,471282.361
2020,Malaysia,Import,Vanuatu,3246292.589
2020,Malaysia,Import,Nepal,641038.048
2020,Malaysia,Import,Slovenia,47978534.01
2020,Malaysia,Import,Kiribati,862959.294
2020,Malaysia,Import,Greenland,5613.679
2020,Malaysia,Import,Finland,248008163.7
2020,Malaysia,Import,Kazakhstan,3949536.682
2020,Malaysia,Import,India,5930879316
2020,Malaysia,Import,Serbia,3270875.541
