date,gdp,gni,gdp_capita,gni_capita
1/1/1947,3531,3511,719,715
1/1/1948,3619,3580,726,718
1/1/1949,3550,3400,699,669
1/1/1950,5345,4765,1023,912
1/1/1951,7520,6840,1409,1282
1/1/1952,6350,6155,1153,1118
1/1/1953,5780,5690,1013,997
1/1/1954,,,,
1/1/1955,4992,4756,824,785.045
1/1/1956,5060,4842,809,774
1/1/1957,5126,4948,816,788
1/1/1958,4896,4758,753,731
1/1/1959,5527,5316,825,793
1/1/1960,5866,5616,723,692
1/1/1961,5822,5633,695,672
1/1/1962,6127,5985,708,692
1/1/1963,7684,7513,861,842
1/1/1964,8187,7960,893,868
1/1/1965,9050,8776,959,930
1/1/1966,9623,9344,989,960
1/1/1967,9762,9647,976,964
1/1/1968,10195,10074,994,983
1/1/1969,11218,10939,1068,1042
1/1/1970,11829,11644,1087,1070
1/1/1971,12955,12592,1161,1128
1/1/1972,14220,13842,1243,1210
1/1/1973,18723,18064,1598,1541
1/1/1974,22858,21861,1905,1822
1/1/1975,22332,21606,1816,1757
1/1/1976,28085,26988,2231,2144
1/1/1977,32340,31064,2507,2408
1/1/1978,37886,36186,2870,2741
1/1/1979,46424,44354,3434,3281
1/1/1980,53308,51390,3841,3703
1/1/1981,57613,55602,4041,3900
1/1/1982,62599,59710,4273,4075
1/1/1983,70444,66033,4681,4388
1/1/1984,79550,74182,5149,4801
1/1/1985,77470,71962,4878,4531
1/1/1986,71594,66818,4384,4092
1/1/1987,81085,76104,4834,4537
1/1/1988,92370,87286,5364,5069
1/1/1989,105233,99330,5958,5624
1/1/1990,119081,114017,6578,6299
1/1/1991,135124,128324,7285,6919
1/1/1992,150682,142676,7903,7483
1/1/1993,172194,163928,8785,8363
1/1/1994,195461,186049,9704,9237
1/1/1995,222473,212095,10757,10255
1/1/1996,253732,241931,11956,11399
1/1/1997,281795,266699,12945,12251
1/1/1998,283243,267923,12682,11996
1/1/1999,300764,279878,13129,12217
1/1/2000,356401,327492,15169,13939
1/1/2001,352579,326956,14672,13606
1/1/2002,383213,358152,15614,14593
1/1/2003,418769,396232,16725,15825
1/1/2004,474048,449646,18560,17605
1/1/2005,543578,519635,20870,19951
1/1/2006,596784,579490,22478,21826
1/1/2007,665340,651355,24589,24073
1/1/2008,769949,746915,27929,27094
1/1/2009,712857,698643,25385,24880
1/1/2010,821434,795303,28733,27819
1/1/2011,911733,890133,31372,30629
1/1/2012,971252,935410,32913,31698
1/1/2013,1018614,984639,33714,32589
1/1/2014,1106443,1069819,36030,34838
1/1/2015,1176941,1144829,37739,36710
1/1/2016,1249698,1215105,39505,38412
1/1/2017,1372309.832,1333651.56,42854.45,41647.23
1/1/2018,1447760,1402677,44709,43316
1/1/2019,1512738,1473242,46513,45298
1/1/2020,1418491,1389971,43717.17,42838
1/1/2021,1548701,1506548,47541.165,46247
1/1/2022,1793903,1736960,54862.774,53121
1/1/2023,1822904,1769827,54612.301,53021
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
