date,year_quarter,gdp
1/1/2015,2015 Q1,281643
4/1/2015,2015 Q2,288307
7/1/2015,2015 Q3,297422
10/1/2015,2015 Q4,309569
1/1/2016,2016 Q1,295016
4/1/2016,2016 Q2,303738
7/1/2016,2016 Q3,316737
10/1/2016,2016 Q4,334206
1/1/2017,2017 Q1,328713
4/1/2017,2017 Q2,334692
7/1/2017,2017 Q3,347646
10/1/2017,2017 Q4,361259
1/1/2018,2018 Q1,346709
4/1/2018,2018 Q2,353933
7/1/2018,2018 Q3,367918
10/1/2018,2018 Q4,379200
1/1/2019,2019 Q1,362512
4/1/2019,2019 Q2,371603
7/1/2019,2019 Q3,382278
10/1/2019,2019 Q4,396345
1/1/2020,2020 Q1,367259
4/1/2020,2020 Q2,303124
7/1/2020,2020 Q3,368749
10/1/2020,2020 Q4,379358
1/1/2021,2021 Q1,371270
4/1/2021,2021 Q2,374428
7/1/2021,2021 Q3,378487
10/1/2021,2021 Q4,424517
1/1/2022,2022 Q1,422454
4/1/2022,2022 Q2,445013
7/1/2022,2022 Q3,458256
10/1/2022,2022 Q4,468181
1/1/2023,2023 Q1,443332
4/1/2023,2023 Q2,439683
7/1/2023,2023 Q3,463163
10/1/2023,2023 Q4,476726
1/1/2024,2024 Q1,464970
4/1/2024,2024 Q2,472447
