date,section,trade_type,trade_val
1/1/2000,0,exports,491.864874
1/1/2000,1,exports,92.332416
1/1/2000,2,exports,863.994681
1/1/2000,3,exports,2843.136683
1/1/2000,4,exports,1116.946684
1/1/2000,5,exports,880.219925
1/1/2000,6,exports,1927.880545
1/1/2000,7,exports,14958.38619
1/1/2000,8,exports,2026.711654
1/1/2000,9,exports,229.883181
1/1/2000,overall,exports,25431.35683
2/1/2000,0,exports,425.641394
2/1/2000,1,exports,77.214349
2/1/2000,2,exports,689.603279
2/1/2000,3,exports,2881.747034
2/1/2000,4,exports,1099.756943
2/1/2000,5,exports,1072.302224
2/1/2000,6,exports,1910.675351
2/1/2000,7,exports,16986.58108
2/1/2000,8,exports,1922.449106
2/1/2000,9,exports,217.203495
2/1/2000,overall,exports,27283.17426
3/1/2000,0,exports,553.169207
3/1/2000,1,exports,100.950924
3/1/2000,2,exports,901.427068
3/1/2000,3,exports,3188.319069
3/1/2000,4,exports,1254.55197
3/1/2000,5,exports,1086.130053
3/1/2000,6,exports,2133.213423
3/1/2000,7,exports,20139.48297
3/1/2000,8,exports,2368.704586
3/1/2000,9,exports,262.696514
3/1/2000,overall,exports,31988.64579
4/1/2000,0,exports,509.671983
4/1/2000,1,exports,98.515223
4/1/2000,2,exports,897.85345
4/1/2000,3,exports,2455.441551
4/1/2000,4,exports,1116.55742
4/1/2000,5,exports,1087.280719
4/1/2000,6,exports,2174.508072
4/1/2000,7,exports,17989.05012
4/1/2000,8,exports,2333.513182
4/1/2000,9,exports,240.322014
4/1/2000,overall,exports,28902.71373
5/1/2000,0,exports,553.327793
5/1/2000,1,exports,111.185482
5/1/2000,2,exports,909.523666
5/1/2000,3,exports,2651.869264
5/1/2000,4,exports,1008.684467
5/1/2000,5,exports,1231.347129
5/1/2000,6,exports,2291.918346
5/1/2000,7,exports,18776.95689
5/1/2000,8,exports,2480.702004
5/1/2000,9,exports,253.977343
5/1/2000,overall,exports,30269.49238
6/1/2000,0,exports,574.066614
6/1/2000,1,exports,112.047681
6/1/2000,2,exports,923.797559
6/1/2000,3,exports,2885.16974
6/1/2000,4,exports,1100.698246
6/1/2000,5,exports,1376.535977
6/1/2000,6,exports,2191.009429
6/1/2000,7,exports,19830.75105
6/1/2000,8,exports,2505.145689
6/1/2000,9,exports,263.364009
6/1/2000,overall,exports,31762.586
7/1/2000,0,exports,551.376941
7/1/2000,1,exports,88.254854
7/1/2000,2,exports,968.187353
7/1/2000,3,exports,3117.527228
7/1/2000,4,exports,1032.325817
7/1/2000,5,exports,1418.732775
7/1/2000,6,exports,2236.784776
7/1/2000,7,exports,20301.87507
7/1/2000,8,exports,2722.661037
7/1/2000,9,exports,267.044431
7/1/2000,overall,exports,32704.77028
8/1/2000,0,exports,564.107493
8/1/2000,1,exports,101.873018
8/1/2000,2,exports,848.391883
8/1/2000,3,exports,2946.768259
8/1/2000,4,exports,929.934519
8/1/2000,5,exports,1290.185907
8/1/2000,6,exports,2273.679985
8/1/2000,7,exports,21969.6219
8/1/2000,8,exports,2809.204982
8/1/2000,9,exports,273.941568
8/1/2000,overall,exports,34007.70952
9/1/2000,0,exports,579.122481
9/1/2000,1,exports,99.952862
9/1/2000,2,exports,872.988719
9/1/2000,3,exports,3206.132395
9/1/2000,4,exports,1155.303802
9/1/2000,5,exports,1379.033062
9/1/2000,6,exports,2197.408175
9/1/2000,7,exports,22289.50728
9/1/2000,8,exports,2907.182376
9/1/2000,9,exports,254.519214
9/1/2000,overall,exports,34941.15036
10/1/2000,0,exports,541.286968
10/1/2000,1,exports,115.090581
10/1/2000,2,exports,822.0986
10/1/2000,3,exports,3373.358792
10/1/2000,4,exports,1123.505049
10/1/2000,5,exports,1202.689184
10/1/2000,6,exports,2343.395279
