date,section,exports,imports
2000-01-01,0,491.864874,846.099009
2000-01-01,1,92.332416,31.130468
2000-01-01,2,863.994681,604.749198
2000-01-01,3,2843.136683,653.256063
2000-01-01,4,1116.946684,58.953819
2000-01-01,5,880.219925,1509.983052
2000-01-01,6,1927.880545,2238.572232
2000-01-01,7,14958.386186,13025.466677
2000-01-01,8,2026.711654,1080.749181
2000-01-01,9,229.883181,774.363344
2000-01-01,overall,25431.356829,20823.323043
2000-02-01,0,425.641394,830.343028
2000-02-01,1,77.214349,38.961759
2000-02-01,2,689.603279,475.994393
2000-02-01,3,2881.747034,1702.13226
2000-02-01,4,1099.756943,41.940353
2000-02-01,5,1072.302224,1550.492615
2000-02-01,6,1910.675351,2251.267102
2000-02-01,7,16986.581083,13633.805889
2000-02-01,8,1922.449106,1073.374511
2000-02-01,9,217.203495,469.02647
2000-02-01,overall,27283.174258000003,22067.338379999997
2000-03-01,0,553.169207,916.847192
2000-03-01,1,100.950924,48.463922
2000-03-01,2,901.427068,565.814036
2000-03-01,3,3188.319069,1022.498684
2000-03-01,4,1254.55197,32.465587
2000-03-01,5,1086.130053,1987.871955
2000-03-01,6,2133.213423,2726.698397
2000-03-01,7,20139.482974,15525.055673
2000-03-01,8,2368.704586,1336.696858
2000-03-01,9,262.696514,822.460927
2000-03-01,overall,31988.645787999998,24984.873231
2000-04-01,0,509.671983,902.658686
2000-04-01,1,98.515223,69.757968
2000-04-01,2,897.85345,551.941142
2000-04-01,3,2455.441551,1202.142579
2000-04-01,4,1116.55742,58.96587
2000-04-01,5,1087.280719,1873.536068
2000-04-01,6,2174.508072,2811.702772
2000-04-01,7,17989.050119,15948.963137
2000-04-01,8,2333.513182,1379.04914
2000-04-01,9,240.322014,701.75767
2000-04-01,overall,28902.713733,25500.475032000002
2000-05-01,0,553.327793,998.721851
2000-05-01,1,111.185482,61.325964
2000-05-01,2,909.523666,670.393909
2000-05-01,3,2651.869264,1111.462373
2000-05-01,4,1008.684467,50.068924
2000-05-01,5,1231.347129,1985.727068
2000-05-01,6,2291.918346,2938.775166
2000-05-01,7,18776.956887,16045.277941
2000-05-01,8,2480.702004,1379.298437
2000-05-01,9,253.977343,791.103732
2000-05-01,overall,30269.492381,26032.155365
2000-06-01,0,574.066614,912.421156
2000-06-01,1,112.047681,55.938822
2000-06-01,2,923.797559,596.050539
2000-06-01,3,2885.16974,1202.359378
2000-06-01,4,1100.698246,53.123566
2000-06-01,5,1376.535977,1845.942128
2000-06-01,6,2191.009429,2928.44255
2000-06-01,7,19830.751054,17235.754523
2000-06-01,8,2505.145689,1487.825601
2000-06-01,9,263.364009,674.416345
2000-06-01,overall,31762.585998000002,26992.274608
2000-07-01,0,551.376941,943.803644
2000-07-01,1,88.254854,116.06552
2000-07-01,2,968.187353,660.464396
2000-07-01,3,3117.527228,1382.318398
2000-07-01,4,1032.325817,65.035244
2000-07-01,5,1418.732775,2030.997733
2000-07-01,6,2236.784776,3106.012929
2000-07-01,7,20301.875068,18010.759216
2000-07-01,8,2722.661037,1666.909273
2000-07-01,9,267.044431,675.160928
2000-07-01,overall,32704.77028,28657.527281
2000-08-01,0,564.107493,936.668912
2000-08-01,1,101.873018,51.85016
2000-08-01,2,848.391883,689.419651
2000-08-01,3,2946.768259,1268.652286
2000-08-01,4,929.934519,55.628674
2000-08-01,5,1290.185907,2046.640172
2000-08-01,6,2273.679985,3061.80084
2000-08-01,7,21969.621903,18465.028049
2000-08-01,8,2809.204982,1825.761523
2000-08-01,9,273.941568,688.052532
2000-08-01,overall,34007.709516999996,29089.502798999998
2000-09-01,0,579.122481,1010.042988
2000-09-01,1,99.952862,63.28671
2000-09-01,2,872.988719,614.303939
2000-09-01,3,3206.132395,1766.329251
2000-09-01,4,1155.303802,50.223227
2000-09-01,5,1379.033062,1957.315591
2000-09-01,6,2197.408175,2717.710219
2000-09-01,7,22289.507276,18134.245654
2000-09-01,8,2907.182376,1757.039854
2000-09-01,9,254.519214,671.968983
2000-09-01,overall,34941.150362,28742.466416
2000-10-01,0,541.286968,1053.360696
2000-10-01,1,115.090581,40.493846
2000-10-01,2,822.0986,546.95766
2000-10-01,3,3373.358792,1215.075863
2000-10-01,4,1123.505049,30.141633
2000-10-01,5,1202.689184,1906.212185
2000-10-01,6,2343.395279,2709.796188
2000-10-01,7,20403.990329,17495.117944
2000-10-01,8,2755.527683,1601.335529
2000-10-01,9,290.897109,682.825464
2000-10-01,overall,32971.839574,27281.317008
2000-11-01,0,580.391685,982.309825
2000-11-01,1,107.633301,69.981101
2000-11-01,2,742.958741,562.703723
2000-11-01,3,3188.718504,1116.661482
2000-11-01,4,1104.990367,51.841491
2000-11-01,5,1211.546232,1921.409598
2000-11-01,6,2086.908784,2793.160448
2000-11-01,7,20845.810919,16886.240645
2000-11-01,8,2636.361626,1626.745808
2000-11-01,9,273.239664,754.435176
2000-11-01,overall,32778.559823,26765.489297
2000-12-01,0,546.274866,1059.83612
2000-12-01,1,109.898548,61.435872
2000-12-01,2,847.496074,556.93136
2000-12-01,3,3164.357484,1330.171491
2000-12-01,4,893.604012,55.604245
2000-12-01,5,1041.787264,1755.358985
2000-12-01,6,2020.608557,2312.413131
2000-12-01,7,18886.862363,15322.272053
2000-12-01,8,2456.888764,1444.135852
2000-12-01,9,260.539023,623.966698
2000-12-01,overall,30228.316955000002,24522.125807
2001-01-01,0,488.496781,1000.678835
2001-01-01,1,111.094426,66.163041
2001-01-01,2,706.159911,481.005521
2001-01-01,3,3395.119172,1105.848998
2001-01-01,4,986.371445,38.255255
2001-01-01,5,1238.630188,1780.848183
2001-01-01,6,1826.731397,2419.361905
2001-01-01,7,16863.304221,15987.520071
2001-01-01,8,2204.176351,1543.830955
2001-01-01,9,234.8332,590.779483
2001-01-01,overall,28054.917092,25014.292247
2001-02-01,0,506.056455,977.962266
2001-02-01,1,108.530202,58.757571
2001-02-01,2,652.773126,478.914418
2001-02-01,3,2921.967093,908.330826
2001-02-01,4,798.687254,49.356985
2001-02-01,5,1246.958338,1680.363127
2001-02-01,6,2074.812559,2261.175251
2001-02-01,7,17525.700825,13786.405797
2001-02-01,8,2339.127998,1330.924798
2001-02-01,9,260.367135,669.967341
2001-02-01,overall,28434.980985,22202.15838
2001-03-01,0,520.62727,931.108312
2001-03-01,1,103.340677,55.881167
2001-03-01,2,715.206815,532.108841
2001-03-01,3,3165.158365,1281.117044
